no,question,a,b,c,d,answer
1,Which of the following is a wireless network detector that is commonly found on Linux?,Kismet,Abel,Netstumbler,Nessus,A
2,"A security consultant decides to use multiple layers of anti-virus defense, such as end userdesktop anti-virus and E-mail gateway. This approach can be used to mitigate which kind of attack?",Forensic attack,ARP spoofing attack,Social engineering attack,Scanning attack,C
3,Code injection is a form of attack in which a malicious user:,Inserts text into a data field that gets interpreted as code,Gets the server to execute arbitrary code using a buffer overflow,Inserts additional code into the JavaScript running in the browser,Gains access to the codebase on the server and inserts new code,A
4,"Sid is a judge for a programming contest. Before the code reaches him it goes through arestricted OS and is tested there. If it passes, then it moves onto Sid. What is this middle step called?",Fuzzy-testing the code,Third party running the code,Sandboxing the code,String validating the code,A
5,"The Payment Card Industry Data Security Standard (PCI DSS) contains six different categories ofcontrol objectives. Each objective contains one or more requirements, which must be followed inorder to achieve compliance. Which of the following requirements would best fit under the objective,""Implement strong access control measures""?",Regularly test security systems and processes.,"Encrypt transmission of cardholder data across open, public networks.",Assign a unique ID to each person with computer access.,Use and regularly update anti-virus software on all systems commonly affected by malware.,C
6,Which of the following act requires employer's standard national numbers to identify them onstandard transactions?,SOX,HIPAA,DMCA,PCI-DSS,B
7,"Which of the following is an NMAP script that could help detect HTTP Methods such as GET,POST, HEAD, PUT, DELETE, TRACE?",http-git,http-headers,http enum,http-methods,D
8,"Fred is the network administrator for his company. Fred is testing an internal switch.From an external IP address, Fred wants to try and trick this switch into thinking it already hasestablished a session with his computer. How can Fred accomplish this?",Fred can accomplish this by sending an IP packet with the RST/SIN bit and the source address ofhis computer.,He can send an IP packet with the SYN bit and the source address of his computer.,Fred can send an IP packet with the ACK bit set to zero and the source address of the switch.,Fred can send an IP packet to the switch with the ACK bit and the source address of his machine.,D
9,"What is the process of logging, recording, and resolving events that take place in anorganization?",Incident Management Process,Security Policy,Internal Procedure,Metrics,A
10,A hacker has managed to gain access to a Linux host and stolen the password file from/etc/passwd. How can he use it?,The password file does not contain the passwords themselves.,He can open it and read the user ids and corresponding passwords.,The file reveals the passwords to the root user only.,He cannot read it because it is encrypted.,A
11,What is the most secure way to mitigate the theft of corporate information from a laptopthat was left in a hotel room?,Set a BIOS password.,Encrypt the data on the hard drive.,Use a strong logon password to the operating system.,Back up everything on the laptop and store the backup in a safe place.,B
12,You are manually conducting Idle Scanning using Hping2. During your scanning you noticethat almost every query increments the IPID regardless of the port being queried. One or two of thequeries cause the IPID to increment by more than one value. Why do you think this occurs?,The zombie you are using is not truly idle.,A stateful inspection firewall is resetting your queries.,Hping2 cannot be used for idle scanning.,These ports are actually open on the target system.,A
13,"Darius is analysing IDS logs. During the investigation, he noticed that there was nothingsuspicious found and an alert was triggered on normal web application traffic. He can mark this alertas:",False-Negative,False-Positive,True-Positive,False-Signature,A
14,What is the proper response for a NULL scan if the port is closed?,SYN,ACK,FIN,PSHE. RSTF. No response,E
15,The Open Web Application Security Project (OWASP) is the worldwide not-for-profitcharitable organization focused on improving the security of software. What item is the primaryconcern on OWASP's Top Ten Project Most Critical Web Application Security Risks?,Injection,Cross Site Scripting,Cross Site Request Forgery,Path disclosure,A
16,"A recent security audit revealed that there were indeed several occasions that the company'snetwork was breached. After investigating, you discover that your IDS is not configured properly andtherefore is unable to trigger alarms when needed. What type of alert is the IDS giving?",True Positive,False Negative,False Positive,False Positive,B
17,"A Network Administrator was recently promoted to Chief Security Officer at a local university.One of employee's new responsibilities is to manage the implementation of an RFID card accesssystem to a new server room on campus. The server room will house student enrollment informationthat is securely backed up to an off-site location.During a meeting with an outside consultant, the Chief Security Officer explains that he is concernedthat the existing security controls have not been designed properly. Currently, the NetworkAdministrator is responsible for approving and issuing RFID card access to the server room, as well asreviewing the electronic access logs on a weekly basis.Which of the following is an issue with the situation?",Segregation of duties,Undue influence,Lack of experience,Inadequate disaster recovery plan,A
18,Which vital role does the U.S. Computer Security Incident Response Team (CSIRT) provide?,"Incident response services to any user, company, government agency, or organization inpartnership with the Department of Homeland Security","Maintenance of the nation's Internet infrastructure, builds out new Internet infrastructure, anddecommissions old Internet infrastructure",Registration of critical penetration testing for the Department of Homeland Security and publicand private sectors,"Measurement of key vulnerability assessments on behalf of the Department of Defense (DOD) andState Department, as well as private sectors",A
19,Which of the following is used to indicate a single-line comment in structured query language(SQL)?,--,||,%%,'',A
20,"Supposed you are the Chief Network Engineer of a certain Telco. Your company is planningfor a big business expansion and it requires that your network authenticate users connecting usinganalog modems, Digital Subscriber Lines (DSL), wireless data services, and Virtual Private Networks(VPN) over a Frame Relay network. Which AAA protocol would you implement?",TACACS+,DIAMETER,Kerberos,RADIUS,D
21,Which of the following lists are valid data-gathering activities associated with a riskassessment?,"Threat identification, vulnerability identification, control analysis","Threat identification, response identification, mitigation identification","Attack profile, defense profile, loss profile","System profile, vulnerability identification, security determination",A
22,Which of the following command line switch would you use for OS detection in Nmap?,-D,-O,-P,-X,B
23,A security consultant is trying to bid on a large contract that involves penetration testing andreporting. The company accepting bids wants proof of work so the consultant prints out severalaudits that have been performed. Which of the following is likely to occur as a result?,The consultant will ask for money on the bid because of great work.,The consultant may expose vulnerabilities of other companies.,The company accepting bids will want the same type of format of testing.,The company accepting bids will hire the consultant because of the great work performed.,B
24,What type of vulnerability/attack is it when the malicious person forces the user's browser tosend an authenticated request to a server?,Cross-site request forgery,Cross-site scripting,Session hijacking,Server side request forgery,A
25,Which of the following is a hashing algorithm?,MD5,PGP,DES,ROT13,A
26,A security engineer has been asked to deploy a secure remote access solution that will allowemployees to connect to the company's internal network. Which of the following can beimplemented to minimize the opportunity for the man-in-the-middle attack to occur?,SSL,Mutual authentication,IPSec,Static IP addresses,C
27,"On a Linux device, which of the following commands will start the Nessus client in thebackground so that the Nessus server can be configured?",nessus +,nessus *s,nessus &,nessus -d,C
28,If an attacker uses the command SELECT*FROM user WHERE name = 'x' AND userid IS NULL;--'; which type of SQL injection attack is the attacker performing?,End of Line Comment,UNION SQL Injection,Illegal/Logically Incorrect Query,Tautology,D
29,"A hacker, who posed as a heating and air conditioning specialist, was able to install a snifferprogram in a switched environment network. Which attack could the hacker use to sniff all of thepackets in the network?",Fraggle,MAC Flood,Smurf,Tear Drop,B
30,Least privilege is a security concept that requires that a user is,limited to those functions required to do the job.,given root or administrative privileges.,trusted to keep all data and access to that data under their sole control.,given privileges equal to everyone else in the department.,A
31,"Which DNS resource record can indicate how long any ""DNS poisoning"" could last?",MX,SOA,NS,TIMEOUT,B
32,"During the process of encryption and decryption, what keys are shared?During the process of encryption and decryption, what keys are shared?",Private keys,User passwords,Public keys,Public and private keys,C
33,"Using Windows CMD, how would an attacker list all the shares to which the current usercontext has access?",NET USE,NET CONFIG,NET FILE,NET VIEW,A
34,What does the following command in netcat do?nc -l -u -p55555 < /etc/passwd,logs the incoming connections to /etc/passwd file,loads the /etc/passwd file to the UDP port 55555,grabs the /etc/passwd file when connected to UDP port 55555,deletes the /etc/passwd file when connected to the UDP port 55555,C
35,Sandra is the security administrator of XYZ.com. One day she notices that the XYZ.com Oracledatabase server has been compromised and customer information along with financial data has beenstolen. The financial loss will be estimated in millions of dollars if the database gets into the hands ofcompetitors. Sandra wants to report this crime to the law enforcement agencies immediately. Whichorganization coordinates computer crime investigations throughout the United States?,NDCA,NICP,CIRP,NPCE. CIA,D
36,Which of the following is a characteristic of Public Key Infrastructure (PKI)?,Public-key cryptosystems are faster than symmetric-key cryptosystems.,Public-key cryptosystems distribute public-keys within digital signatures.,Public-key cryptosystems do not require a secure key distribution channel.,Public-key cryptosystems do not provide technical non-repudiation via digital signatures.,B
37,"A network administrator received an administrative alert at 3:00 a.m. from the intrusiondetection system. The alert was generated because a large number of packets were coming into thenetwork over ports 20 and 21.During analysis, there were no signs of attack on the FTP servers. How should the administratorclassify this situation?",True negatives,False negatives,True positives,False positives,D
38,"In the OSI model, where does PPTP encryption take place?",Transport layer,Application layer,Data link layer,Network layer,C
39,Websites and web portals that provide web services commonly use the Simple Object AccessProtocol SOAP.Which of the following is an incorrect definition or characteristics in the protocol?,Based on XML,Provides a structured model for messaging,Exchanges data between web services,Only compatible with the application protocol HTTP,D
40,A common cryptographical tool is the use of XOR. XOR the following binary values:1011000100111010,10001011,11011000,10011101,10111100,A
41,"Which of the following resources does NMAP need to be used as a basic vulnerability scannercovering several vectors like SMB, HTTP and FTP?",Metasploit scripting engine,Nessus scripting engine,NMAP scripting engine,SAINT scripting engine,C
42,"During a recent security assessment, you discover the organization has one Domain NameServer (DNS) in a Demilitarized Zone (DMZ) and a second DNS server on the internal network.What is this type of DNS configuration commonly called?",Split DNS,DNSSEC,DynDNS,DNS Scheme,A
43,"A security administrator notices that the log file of the company's webserver containssuspicious entries:Based on source code analysis, the analyst concludes that the login.php script is vulnerable to",command injection.,SQL injection.,directory traversal.,LDAP injection.,B
44,"PGP, SSL, and IKE are all examples of which type of cryptography?",Public Key,Secret Key,Hash Algorithm,Digest,A
45,Which of the following commands runs snort in packet logger mode?,./snort -dev -h ./log,./snort -dev -l ./log,./snort -dev -o ./log,./snort -dev -p ./log,B
46,"An Internet Service Provider (ISP) has a need to authenticate users connecting using analogmodems, Digital Subscriber Lines (DSL), wireless data services, and Virtual Private Networks (VPN)over a Frame Relay network.Which AAA protocol is most likely able to handle this requirement?",RADIUS,DIAMETER,Kerberos,TACACS+,A
47,Smart cards use which protocol to transfer the certificate in a secure manner?,Extensible Authentication Protocol (EAP),Point to Point Protocol (PPP),Point to Point Tunneling Protocol (PPTP),Layer 2 Tunneling Protocol (L2TP),A
48,"Every company needs a formal written document which spells out to employees preciselywhat they are allowed to use the company's systems for, what is prohibited, and what will happen tothem if they break the rules. Two printed copies of the policy should be given to every employee assoon as possible after they join the organization. The employee should be asked to sign one copy,which should be safely filed by the company. No one should be allowed to use the company'scomputer systems until they have signed the policy in acceptance of its terms.What is this document called?",Information Audit Policy (IAP),Information Security Policy (ISP),Penetration Testing Policy (PTP),Company Compliance Policy (CCP),B
49,One way to defeat a multi-level security solution is to leak data via,a bypass regulator.,steganography.,a covert channel.,asymmetric routing.,C
50,"Your next door neighbor, that you do not get along with, is having issues with their network,so he yells to his spouse the network's SSID and password and you hear them both clearly. What doyou do with this information?","Nothing, but suggest to him to change the network's SSID and password.","Sell his SSID and password to friends that come to your house, so it doesn't slow down yournetwork.","Log onto to his network, after all it's his fault that you can get in.",Only use his network when you have large downloads so you don't tax your own network.,A
51,A security analyst is performing an audit on the network to determine if there are anydeviations from the security policies in place. The analyst discovers that a user from the ITdepartment had a dial-out modem installed. Which security policy must the security analyst check tosee if dial-out modems are allowed?,Firewall-management policy,Acceptable-use policy,Remote-access policy,Permissive policy,C
52,"You just set up a security system in your network. In what kind of system would you find thefollowing string of characters used as a rule within its configuration?alert tcp any any -> 192.168.100.0/24 21 (msg: ""FTP on the network!"";)",An Intrusion Detection System,A firewall IPTable,A Router IPTable,FTP Server rule,A
53,Which of the following open source tools would be the best choice to scan a network forpotential targets?,NMAP,NIKTO,CAIN,John the Ripper,A
54,Which of the following is the successor of SSL?,TLS,RSA,GRE,IPSec,A
55,Which of the following tools is used to detect wireless LANs using the 802.11a/b/g/n WLANstandards on a linux platform?,Kismet,Nessus,Netstumbler,Abel,A
56,"Joseph was the Web site administrator for the Mason Insurance in New York, who's mainWeb site was located at www.masonins.com. Joseph uses his laptop computer regularly toadminister the Web site. One night, Joseph received an urgent phone call from his friend, Smith.According to Smith, the main Mason Insurance web site had been vandalized! All of its normalcontent was removed and replaced with an attacker's message ''Hacker Message: You are dead!Freaks!"" From his office, which was directly connected to Mason Insurance's internal network, Josephsurfed to the Web site using his laptop. In his browser, the Web site looked completely intact.No changes were apparent. Joseph called a friend of his at his home to help troubleshoot theproblem. The Web site appeared defaced when his friend visited using his DSL connection. So, whileSmith and his friend could see the defaced page, Joseph saw the intact Mason Insurance web site. Tohelp make sense of this problem, Joseph decided to access the Web site using hisdial-up ISP. Hedisconnected his laptop from the corporate internal network and used his modem to dial up thesame ISP used by Smith. After his modem connected, he quickly typed www.masonins.com in hisbrowser to reveal the following web page: After seeing the defaced Web site, he disconnected his dial-up line, reconnected to the internalnetwork, and used Secure Shell (SSH) to log in directly to the Web server. He ran Tripwire against theentire Web site, and determined that every system file and all the Web content on the server wereintact. How did the attacker accomplish this hack?",ARP spoofing,SQL injection,DNS poisoning,Routing table injection,C
57,Under what conditions does a secondary name server request a zone transfer from a primaryname server?,When a primary SOA is higher that a secondary SOA,When a secondary SOA is higher that a primary SOA,When a primary name server has had its service restarted,When a secondary name server has had its service restartedE. When the TTL falls to zero,A
58,Which of the following can take an arbitrary length of input and produce a message digestoutput of 160 bit?,SHA-1,MD5,HAVAL,MD4,A
59,"You went to great lengths to install all the necessary technologies to prevent hacking attacks,such as expensive firewalls, antivirus software, anti-spam systems and intrusion detection/preventiontools in your company's network. You have configured the most secure policies and tightened everydevice on your network. You are confident that hackers will never be able to gain access to yournetwork with complex security system in place.Your peer, Peter Smith who works at the same department disagrees with you.He says even the best network security technologies cannot prevent hackers gaining access to thenetwork because of presence of ""weakest link"" in the security chain.What is Peter Smith talking about?",Untrained staff or ignorant computer users who inadvertently become the weakest link in yoursecurity chain,"""zero-day"" exploits are the weakest link in the security chain since the IDS will not be able todetect these attacks","""Polymorphic viruses"" are the weakest link in the security chain since the Anti-Virus scanners willnot be able to detect these attacks",Continuous Spam e-mails cannot be blocked by your security system since spammers use differenttechniques to bypass the filters in your gateway,A
60,Which of the following types of firewalls ensures that the packets are part of the establishedsession?,Stateful inspection firewall,Circuit-level firewall,Application-level firewall,Switch-level firewall,A
61,"You are a Network Security Officer. You have two machines. The first machine (192.168.0.99)has snort installed, and the second machine (192.168.0.150) has kiwi syslog installed. You perform asyn scan in your network, and you notice that kiwi syslog is not receiving the alert message fromsnort. You decide to run wireshark in the snort machine to check if the messages are going to the kiwisyslog machine.What wireshark filter will show the connections from the snort machine to kiwi syslog machine?",tcp.dstport==514 && ip.dst==192.168.0.150,tcp.srcport==514 && ip.src==192.168.0.99,tcp.dstport==514 && ip.dst==192.168.0.0/16,tcp.srcport==514 && ip.src==192.168.150,A
62,Which of the following can the administrator do to verify that a tape backup can berecovered in its entirety?,Restore a random file.,Perform a full restore.,Read the first 512 bytes of the tape.,Read the last 512 bytes of the tape.,B
63,What would you type on the Windows command line in order to launch the ComputerManagement Console provided that you are logged in as an admin?,c:\compmgmt.msc,c:\gpedit,c:\ncpa.cpl,c:\services.msc,A
64,What is the role of test automation in security testing?,It can accelerate benchmark tests and repeat them with a consistent test setup. But it cannotreplace manual testing completely.,It is an option but it tends to be very expensive.,It should be used exclusively. Manual testing is outdated because of low speed and possible testsetup inconsistencies.,Test automation is not usable in security due to the complexity of the tests.,A
65,Which of the following programming languages is most vulnerable to buffer overflowattacks?,Perl,C++,Python,Java,B
66,You want to do an ICMP scan on a remote computer using hping2. What is the proper syntax?,hping2 host.domain.com,hping2 --set-ICMP host.domain.com,hping2 -i host.domain.com,hping2 -1 host.domain.com,D
67,"Which of the following tools is used to analyze the files produced by several packet-captureprograms such as tcpdump, WinDump, Wireshark, and EtherPeek?",tcptrace,tcptraceroute,Nessus,OpenVAS,A
68,"Which protocol is used for setting up secured channels between two devices, typically inVPNs?",IPSEC,PEM,SET,PPP,A
69,"What is the approximate cost of replacement and recovery operation per year of a hard drivethat has a value of 
300 given that the technician who charges 
10/hr would need 10 hours torestore OS and Software and needs further 4 hours to restore the database from the last backup tothe new hard disk? Calculate the SLE, ARO, and ALE. Assume the EF = 1 (100%).","
440","
100","
1320","
146",D
70,A recently hired network security associate at a local bank was given the responsibility toperform daily scans of the internal network to look for unauthorized devices. The employee decidesto write a script that will scan the network for unauthorized devices every morning at 5:00 am.Which of the following programming languages would most likely be used?,PHP,C#,Python,ASP.NET,C
